"ID";"Leeftijd";"Regiokenmerken";"Inwoners_1";"Bijstandontvangers_2";"Bijstandsdichtheid_3";"Instroom_4";"Instroom_5";"Uitstroom_6";"Uitstroom_7";"UitstroomNaarWerk_8";"UitstroomNaarWerk_9";"PersonenMetReIntegratievoorziening_10";"WerkNaReIntegratie_11";"WerkNaReIntegratie_12";"PersonenMetBijstandEnReIntegratie_13";"BijstandontvangersMetReIntegratie_14";"ReIntegratieontvangersMetBijstand_15";"WSWWerknemers_16";"WSWDichtheid_17"
"459";"20150";"AM14   ";"  268920";"    6700";"    25.0";"    2000";"    24.0";"    1610";"    19.5";"     790";"    10.5";"    3140";"     900";"    18.0";"    2430";"    40.5";"    77.5";"    1340";"     5.0"
"460";"20150";"AM15   ";"  546300";"   12760";"    23.5";"    3930";"    24.5";"    3140";"    19.5";"    1640";"    11.0";"    4470";"    1610";"    23.0";"    3400";"    29.0";"    76.0";"    2390";"     4.5"
"461";"20150";"AM17   ";"  278370";"    8070";"    29.0";"    2270";"    22.5";"    2050";"    20.5";"    1010";"    11.0";"    2450";"     900";"    20.5";"    1790";"    24.5";"    73.5";"     940";"     3.5"
"462";"20150";"AM18   ";" 1031640";"   55230";"    53.5";"   13450";"    20.0";"   11710";"    17.5";"    5430";"     9.0";"   21930";"    4410";"    13.0";"   14020";"    29.5";"    64.0";"    4040";"     4.0"
"463";"20150";"AM19   ";"  446900";"   10260";"    23.0";"    3290";"    25.5";"    2540";"    20.0";"    1230";"    10.5";"    2740";"    1140";"    24.0";"    2060";"    22.0";"    75.0";"    2350";"     5.0"
"464";"20150";"AM20   ";"  154790";"    3880";"    25.0";"    1150";"    24.0";"     930";"    19.5";"     460";"    11.0";"    1110";"     340";"    18.5";"     740";"    21.5";"    67.0";"     840";"     5.5"
"465";"20150";"AM21   ";"  668940";"   38950";"    58.0";"    9630";"    20.0";"    8580";"    18.0";"    4000";"     9.5";"   13180";"    3240";"    13.5";"   10440";"    30.5";"    79.0";"    2910";"     4.5"
"466";"20150";"AM22   ";" 1140490";"   66550";"    58.5";"   16480";"    20.0";"   14810";"    18.0";"    6810";"     9.5";"   14850";"    4760";"    17.0";"   11730";"    20.0";"    79.0";"    4900";"     4.5"
"467";"20150";"AM23   ";"  223800";"    8270";"    37.0";"    2550";"    24.5";"    2180";"    21.0";"    1030";"    10.5";"    1560";"     440";"    17.0";"     930";"    12.5";"    59.5";"    1260";"     5.5"
"468";"20150";"AM24   ";"  321960";"    8800";"    27.5";"    2820";"    25.0";"    2290";"    20.5";"    1150";"    11.0";"    3210";"     910";"    20.0";"    2440";"    30.0";"    76.0";"    2310";"     7.0"
"469";"20150";"AM25   ";"  575670";"   15960";"    27.5";"    4650";"    23.5";"    3810";"    19.0";"    1750";"     9.5";"    4880";"    1440";"    16.5";"    3770";"    26.0";"    77.5";"    4290";"     7.5"
"470";"20150";"AM26   ";"  389100";"   12290";"    31.5";"    3690";"    23.0";"    3600";"    22.5";"    1740";"    11.5";"    3500";"    1210";"    24.0";"    2410";"    21.0";"    69.0";"    2750";"     7.0"
"471";"20150";"AM27   ";"  510230";"   11810";"    23.0";"    3950";"    26.0";"    3200";"    21.0";"    1650";"    12.0";"    4840";"    1330";"    17.0";"    3530";"    33.0";"    73.0";"    5280";"    10.5"
"472";"20150";"AM28   ";"  434940";"   12430";"    28.5";"    3570";"    23.5";"    2770";"    18.0";"    1360";"     9.5";"    2870";"    1010";"    17.0";"    2080";"    18.5";"    72.5";"    3140";"     7.0"
"473";"20150";"AM29   ";"  232590";"    6550";"    28.0";"    2080";"    25.0";"    1750";"    21.0";"     920";"    12.0";"    1200";"     380";"    20.0";"     750";"    12.5";"    62.5";"    2150";"     9.5"
"474";"20150";"AM30   ";"  525890";"   20790";"    39.5";"    5440";"    21.0";"    5200";"    20.0";"    2360";"     9.5";"    7300";"    1690";"    16.0";"    5500";"    28.5";"    75.5";"    6080";"    11.5"
"475";"20150";"AM31   ";"  277080";"    6780";"    24.5";"    2070";"    24.5";"    1660";"    19.5";"     860";"    11.0";"    3390";"     780";"    17.5";"    2520";"    41.0";"    74.5";"    1250";"     4.5"
"476";"20150";"AM32   ";"  208350";"    5820";"    28.0";"    1650";"    22.5";"    1510";"    20.5";"     700";"    10.5";"     640";"     460";"    18.0";"     450";"     8.5";"    69.0";"    1820";"     8.5"
"477";"20150";"AM33   ";"  203370";"    5500";"    27.0";"    1820";"    25.5";"    1450";"    20.5";"     690";"    10.5";"    3470";"     860";"    18.5";"    2790";"    56.0";"    80.5";"    1820";"     9.0"
