"ID","Leeftijd","Regiokenmerken","Inwoners_1","Bijstandsontvangers_2","Bijstandsdichtheid_3","Instroom_4","Instroom_5","Uitstroom_6","Uitstroom_7","UitstroomNaarWerk_8","UitstroomNaarWerk_9","PersonenMetReIntegratievoorziening_10","WerkNaReIntegratie_11","WerkNaReIntegratie_12","PersonenMetBijstandEnReIntegratie_13","BijstandsontvangersMetReIntegratie_14","ReIntegratieontvangersMetBijstand_15","WSWWerknemers_16","WSWDichtheid_17"
"1363","90200","GM0345 ","   10840","     240","    21.5","      30","     9.5","      50","    17.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1364","90200","GM0717 ","    5420","      20","     3.0","      10","    30.0","      10","    25.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1365","90200","GM0861 ","    8920","      40","     4.5","       0","       .","      10","    13.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1366","90200","GM0453 ","   12900","     110","     8.0","      10","     8.0","      20","    20.5","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1367","90200","GM0983 ","   20280","     320","    16.0","      40","    10.5","      80","    21.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1368","90200","GM0984 ","    8400","      70","     8.5","      10","    15.0","      20","    22.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1369","90200","GM0620 ","    3840","      40","     9.5","       0","       .","      10","    13.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1370","90200","GM0622 ","   14580","     260","    18.0","      30","    11.0","      40","    14.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1371","90200","GM0048 ","    3880","      30","     6.5","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1372","90200","GM0096 ","     200","       0","       .","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1373","90200","GM0718 ","    9670","     150","    15.0","      20","    14.5","      40","    25.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
"1374","90200","GM0986 ","    3120","      10","     3.0","       0","       .","       0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       ."
