"ID","Perioden","TotaalArbeidsongeschiktheidsuitkeringen_1","WAOUitkeringen_2","WajongUitkeringen_3","WAZUitkeringen_4","TotaalWIAUitkeringen_5","IVAUitkeringen_6","WGAUitkeringen_7","NietSeizoengecorrigeerd_8","Seizoengecorrigeerd_9","IOWUitkeringen_10","TotaalBijstandsuitkeringen_11","BijstandsuitkeringenTotDeAOWLeeftijd_12","BijstandsuitkeringenVanafAOWLeeftijd_13","IOAWUitkeringen_14","IOAZUitkeringen_15","AOWUitkeringen_16","AnwUitkeringen_17","AKWUitkeringen_18"
"84","2004MM07","   966.8","   771.0","   140.4","    55.4","","","","   310.9","   317.8","","   360.9","   337.2","    23.7","    14.6","     2.4","","",""
"85","2004MM08","   965.4","   769.2","   141.0","    55.2","","","","   310.7","   319.1","","   359.9","   336.2","    23.7","    14.4","     2.4","","",""
"86","2004MM09","   964.3","   767.7","   141.5","    55.1","","","","   310.4","   322.3","","   359.6","   335.8","    23.9","    14.1","     2.4","  2484.1","   146.6","  1931.2"
"87","2004MM10","   962.4","   765.6","   141.7","    55.1","","","","   310.6","   323.1","","   360.1","   336.0","    24.1","    13.9","     2.4","","   146.2",""
"88","2004MM11","   961.0","   763.7","   142.0","    55.3","","","","   314.8","   322.8","","   361.7","   337.4","    24.3","    13.7","     2.3","","   145.7",""
"89","2004MM12","   960.6","   762.7","   142.4","    55.5","","","","   323.4","   325.0","","   362.9","   338.6","    24.4","    13.6","     2.3","  2498.8","   145.0","  1919.9"
"90","2004JJ00","   968.2","   772.6","   140.1","    55.5","","","","   310.1","       .","","   361.1","   337.6","    23.6","    14.9","     2.4","  2469.5","   147.5","  1923.6"
"91","2005MM01","   958.3","   760.3","   142.7","    55.3","","","","   335.0","   323.2","","   365.0","   339.6","    25.4","    13.3","     2.3","","   144.7",""
"92","2005MM02","   956.5","   758.0","   143.3","    55.2","","","","   341.6","   318.8","","   366.4","   340.8","    25.6","    13.2","     2.3","","   144.3",""
"93","2005MM03","   950.4","   751.9","   143.5","    54.9","","","","   340.8","   328.2","","   366.4","   340.7","    25.7","    13.0","     2.3","  2507.8","   143.7","  1928.1"
"94","2005MM04","   943.5","   745.1","   143.7","    54.7","","","","   336.3","   329.2","","   365.2","   339.3","    25.9","    12.8","     2.3","","   143.1",""
"95","2005MM05","   937.7","   739.3","   144.0","    54.5","","","","   325.5","   326.5","","   364.5","   338.6","    26.0","    12.5","     2.3","","   142.4",""
"96","2005MM06","   934.5","   734.8","   144.4","    55.3","","","","   323.7","   330.1","","   362.9","   337.0","    26.0","    12.3","     2.2","  2519.5","   141.9","  1932.3"
"97","2005MM07","   929.1","   729.2","   144.9","    55.0","","","","   317.5","   323.8","","   362.4","   335.9","    26.5","    12.0","     2.2","","   141.0",""
"98","2005MM08","   921.8","   722.6","   145.4","    53.8","","","","   313.9","   321.8","","   359.9","   333.3","    26.6","    11.8","     2.2","","   140.4",""
"99","2005MM09","   917.9","   718.8","   145.7","    53.4","","","","   308.6","   319.6","","   357.7","   331.0","    26.7","    11.6","     2.2","  2540.1","   139.6","  1935.8"
"100","2005MM10","   912.5","   713.4","   146.1","    53.0","","","","   303.7","   315.5","","   356.2","   329.5","    26.8","    11.4","     2.2","","   139.1",""
"101","2005MM11","   905.1","   705.7","   146.7","    52.7","","","","   303.1","   310.7","","   355.2","   328.3","    26.9","    11.2","     2.2","","   138.7",""
"102","2005MM12","   899.3","   700.0","   147.0","    52.3","","","","   305.1","   306.5","","   355.0","   328.0","    27.0","    11.0","     2.1","  2553.5","   137.8","  1923.2"
"103","2005JJ00","   933.1","   734.2","   144.6","    54.3","","","","   322.0","       .","","   361.7","   335.6","    26.1","    12.3","     2.2","  2523.4","   141.7","  1929.4"
"104","2006MM01","   894.5","   693.7","   147.9","    51.8","     1.2","     0.2","     1.0","   304.0","   295.1","","   353.8","   326.7","    27.1","    10.5","     2.1","","   137.7",""
"105","2006MM02","   892.2","   689.9","   148.5","    51.5","     2.4","     0.4","     2.0","   307.1","   288.0","","   352.8","   325.6","    27.2","    10.0","     2.1","","   137.0",""
"106","2006MM03","   889.1","   685.1","   149.0","    51.1","     3.9","     0.7","     3.2","   304.3","   293.9","","   352.6","   325.3","    27.4","     9.2","     2.0","  2561.5","   136.4","  1931.3"
"107","2006MM04","   885.7","   679.7","   149.7","    50.6","     5.7","     1.0","     4.7","   294.7","   289.3","","   351.6","   324.1","    27.5","     8.8","     2.0","","   135.9",""
"108","2006MM05","   881.6","   674.2","   150.3","    50.1","     7.1","     1.2","     5.9","   286.9","   287.4","","   350.0","   322.5","    27.6","     8.4","     2.0","","   135.1",""
"109","2006MM06","   877.8","   668.7","   150.9","    49.5","     8.7","     1.6","     7.1","   279.0","   282.6","","   348.3","   320.6","    27.7","     8.2","     1.9","  2576.3","   134.4","  1934.6"
"110","2006MM07","   875.2","   663.8","   151.7","    49.0","    10.6","     1.9","     8.7","   271.9","   276.9","","   345.8","   317.8","    27.9","     7.9","     1.9","","   133.8",""
"111","2006MM08","   872.0","   659.1","   152.4","    48.5","    12.0","     2.2","     9.8","   266.7","   272.7","","   342.7","   314.7","    28.0","     7.6","     1.9","","   133.1",""
"112","2006MM09","   868.6","   654.0","   152.9","    48.1","    13.6","     2.6","    11.1","   259.6","   267.9","","   338.1","   310.2","    28.0","     7.3","     1.8","  2592.0","   132.6","  1937.8"
"113","2006MM10","   867.6","   650.1","   153.8","    47.7","    15.9","     3.0","    13.0","   253.8","   262.8","","   334.5","   306.5","    28.1","     6.9","     1.8","","   132.0",""
"114","2006MM11","   865.9","   646.2","   154.9","    47.4","    17.5","     3.4","    14.2","   250.6","   256.6","","   331.7","   303.4","    28.3","     6.7","     1.8","  2600.1","   131.8",""
"115","2006MM12","   863.4","   641.8","   155.5","    47.0","    19.1","     3.7","    15.3","   249.1","   250.7","","   329.4","   300.9","    28.4","     6.6","     1.8","  2604.6","   130.9","  1926.7"
"116","2006JJ00","   879.3","   669.6","   151.1","    49.6","     9.0","     1.8","     8.0","   279.7","       .","","   345.3","   317.6","    27.7","     8.4","     2.0","  2581.8","   134.5","  1932.2"
"117","2007MM01","   861.0","   637.1","   156.5","    46.5","    20.8","     4.1","    16.8","   250.8","   243.2","","   328.0","   299.5","    28.6","     6.5","     1.8","  2607.0","   131.0",""
"118","2007MM02","   859.1","   633.1","   157.4","    46.2","    22.4","     4.5","    17.9","   247.6","   235.1","","   326.7","   298.0","    28.7","     6.4","     1.8","  2609.4","   130.5",""
"119","2007MM03","   856.7","   628.6","   158.3","    45.7","    24.1","     4.9","    19.2","   237.8","   229.6","","   325.0","   296.1","    29.0","     6.3","     1.8","  2614.3","   129.8","  1932.9"
"120","2007MM04","   855.0","   624.9","   159.2","    45.3","    25.6","     5.3","    20.3","   226.4","   222.9","","   323.5","   294.2","    29.2","     6.2","     1.8","  2620.0","   129.1",""
"121","2007MM05","   852.6","   620.8","   159.9","    44.9","    27.0","     5.7","    21.3","   217.2","   217.6","","   321.6","   292.2","    29.4","     6.1","     1.8","  2625.6","   128.5",""
"122","2007MM06","   851.1","   617.0","   161.0","    44.5","    28.6","     6.1","    22.5","   211.4","   214.1","","   318.8","   289.4","    29.5","     5.9","     1.7","  2630.2","   127.5","  1935.8"
"123","2007MM07","   849.5","   613.2","   162.0","    44.2","    30.1","     6.4","    23.7","   207.6","   210.8","","   316.4","   286.4","    30.0","     5.8","     1.7","  2638.0","   126.9",""
"124","2007MM08","   848.3","   609.6","   163.0","    43.9","    31.8","     6.8","    25.1","   204.3","   208.0","","   313.7","   283.5","    30.1","     5.7","     1.7","  2643.1","   126.3",""
"125","2007MM09","   847.0","   606.0","   164.0","    43.5","    33.5","     7.2","    26.4","   197.5","   202.6","","   309.8","   279.7","    30.1","     5.7","     1.7","  2649.6","   125.6","  1939.2"
"126","2007MM10","   846.5","   603.2","   164.9","    43.2","    35.3","     7.6","    27.7","   193.6","   199.0","","   307.2","   276.8","    30.4","     5.6","     1.7","  2655.8","   124.9",""
"127","2007MM11","   847.3","   601.2","   166.1","    43.0","    37.1","     8.1","    29.0","   192.3","   195.5","","   305.8","   275.3","    30.5","     5.6","     1.7","  2659.4","   124.3",""
"128","2007MM12","   846.6","   598.9","   166.6","    42.8","    38.4","     8.4","    29.9","   192.0","   192.1","","   304.7","   273.9","    30.7","     5.6","     1.7","  2664.4","   123.4","  1927.6"
"129","2007JJ00","   852.4","   617.9","   161.1","    44.6","    28.8","     6.0","    22.7","   217.3","       .","","   317.8","   288.2","    29.6","     6.0","     1.7","  2632.2","   127.6","  1933.8"
"130","2008MM01","   846.5","   596.2","   167.6","    42.5","    40.3","     8.9","    31.4","   196.1","   189.4","","   303.7","   272.7","    31.0","     5.7","     1.7","  2666.9","   123.1",""
"131","2008MM02","   846.1","   593.1","   168.6","    42.1","    42.3","     9.4","    32.9","   191.9","   182.4","","   303.3","   272.0","    31.3","     5.8","     1.7","  2670.7","   122.5",""
"132","2008MM03","   844.7","   589.8","   169.3","    41.7","    43.8","     9.8","    34.1","   185.6","   179.2","","   302.5","   270.9","    31.6","     5.8","     1.6","  2677.3","   121.7","  1934.2"
"133","2008MM04","   844.0","   586.9","   170.3","    41.4","    45.4","    10.1","    35.2","   179.4","   176.5","","   302.3","   270.4","    31.9","     5.9","     1.6","  2681.7","   121.2",""
"134","2008MM05","   843.3","   583.7","   171.4","    41.0","    47.2","    10.6","    36.6","   173.9","   174.0","","   301.7","   269.5","    32.2","     5.9","     1.6","  2686.8","   120.6",""
"135","2008MM06","   841.8","   580.2","   172.3","    40.6","    48.7","    11.1","    37.6","   169.2","   171.7","","   300.7","   268.3","    32.3","     6.0","     1.6","  2692.8","   119.9","  1937.5"
"136","2008MM07","   840.3","   576.4","   173.4","    40.2","    50.3","    11.5","    38.8","   166.8","   169.8","","   299.6","   266.8","    32.8","     6.0","     1.6","  2700.8","   119.2",""
