"ID","Leeftijd","Regiokenmerken","Inwoners_1","Bijstandsontvangers_2","Bijstandsdichtheid_3","Instromers_4","Instromers_5","Uitstromers_6","Uitstromers_7","UitstromersNaarWerk_8","UitstromersNaarWerk_9","PersonenMetReIntegratievoorziening_10","WerkendenNaReIntegratie_11","WerkendenNaReIntegratie_12","PersonenMetBijstandEnReIntegratie_13","BijstandontvangersMetReIntegratie_14","ReIntegratieontvangersMetBijstand_15","WSWWerknemers_16","WSWDichtheid_17"
"594","90100","GM0757","   19290","     450","    23.5","     190","    30.0","     180","    28.0","     100","    16.0","     140","      60","    26.0","     110","    24.0","    80.0","     410","    21.5"
"595","90100","GM0758","  121240","    4950","    41.0","    1490","    23.5","    1180","    18.5","     540","     8.5","    1960","     530","    15.5","    1720","    35.0","    88.0","    1200","    10.0"
"596","90100","GM0501","   10720","     240","    23.0","      90","    29.0","      60","    19.5","      40","    12.5","      80","      30","    24.0","      70","    28.5","    93.5","      30","     2.5"
"597","90100","GM1876","   22430","     350","    16.0","     150","    33.5","     100","    21.5","      50","    11.5","     130","      20","    16.5","      90","    24.5","    66.5","     200","     9.0"
"598","90100","GM0213","   13040","     340","    26.0","     120","    27.0","      80","    19.0","      40","     9.5","     390","      60","    14.0","     330","    97.0","    85.0","      90","     7.0"
"599","90100","GM0899","   18290","    1040","    57.0","     290","    21.5","     290","    21.0","     140","    10.0","     260","     110","    19.5","     210","    20.5","    82.5","     490","    27.0"
"600","90100","GM0312","    8970","     130","    14.0","      50","    29.5","      40","    25.0","      20","    13.0","      30","      10","    29.5","      20","    19.0","    70.5","      20","     2.5"
"601","90100","GM0313","   13520","     180","    13.5","      50","    24.0","      40","    18.5","      20","     7.5","     110","      20","    13.0","      90","    49.5","    84.0","      50","     3.5"
"602","90100","GM0214","   17080","     220","    13.0","     120","    37.0","     110","    33.0","      50","    14.5","      60","      20","    31.5","      40","    18.5","    70.5","     110","     6.5"
"603","90100","GM0381","   20290","     580","    28.5","     170","    24.5","     140","    20.0","      60","     8.5","      70","      30","    23.0","      70","    11.5","    90.5","      70","     3.5"
