"ID";"Perioden";"Overheidsinkomsten_1";"Overheidsuitgaven_2";"Overheidssaldo_3";"OverheidsschuldEMU_4";"CollectieveLasten_5";"Overheidsconsumptie_6";"OverheidsinkomstenSeizoengecorrigeerd_7";"OverheidsuitgavenSeizoengecorrigeerd_8";"OverheidssaldoSeizoengecorrigeerd_9";"NettoBesparingen_10";"SaldoNettoBespEnKapitaaloverdr_11";"Aardgasbaten_12";"Overheidsinkomsten_13";"Overheidsuitgaven_14";"Overheidssaldo_15";"OverheidsschuldEMU_16";"CollectieveLasten_17";"Overheidsconsumptie_18";"OverheidsinkomstenSeizoengecorrigeerd_19";"OverheidsuitgavenSeizoengecorrigeerd_20";"OverheidssaldoSeizoengecorrigeerd_21";"NettoBesparingen_22";"SaldoNettoBespEnKapitaaloverdr_23";"Aardgasbaten_24";"WerkzamePersonen_25";"Arbeidsjaren_26";"GewerkteUren_27"
"27";"2003KW04";"   56728";"   59000";"   -2272";"  256381";"   47413";"   31154";"   53525";"   57306";"   -3781";"     424";"      92";"       .";"    41.4";"    44.5";"    -3.1";"    50.0";"    34.5";"    22.9";"    41.3";"    44.2";"    -2.9";"    -1.5";"    -1.8";"       .";"       .";"       .";"       ."
"28";"2003JJ00";"  212289";"  228403";"  -16114";"  256381";"  177104";"  117438";"";"";"";"   -7805";"   -9436";"    5980";"    41.4";"    44.5";"    -3.1";"    50.0";"    34.5";"    22.9";"";"";"";"    -1.5";"    -1.8";"     1.2";"    1140";"    1022";"    1635"
"29";"2004KW01";"   52031";"   55385";"   -3354";"  262948";"   43417";"   28161";"   53621";"   56830";"   -3209";"   -2298";"   -2826";"       .";"    41.2";"    44.4";"    -3.2";"    51.0";"    34.3";"    22.8";"    41.1";"    43.6";"    -2.5";"    -1.7";"    -2.0";"       .";"       .";"       .";"       ."
"30";"2004KW02";"   56529";"   60065";"   -3536";"  266849";"   46018";"   31050";"   54953";"   57317";"   -2364";"   -2594";"   -2874";"       .";"    41.1";"    44.1";"    -2.9";"    51.3";"    34.1";"    22.7";"    41.7";"    43.5";"    -1.8";"    -1.6";"    -1.9";"       .";"       .";"       .";"       ."
"31";"2004KW03";"   52453";"   54739";"   -2286";"  271246";"   42851";"   28324";"   55937";"   57831";"   -1894";"   -1276";"   -1597";"       .";"    41.5";"    43.7";"    -2.2";"    51.7";"    34.3";"    22.6";"    42.1";"    43.6";"    -1.4";"    -1.1";"    -1.4";"       .";"       .";"       .";"       ."
"32";"2004KW04";"   59413";"   59898";"    -485";"  266230";"   50154";"   31594";"   55777";"   58114";"   -2337";"    1145";"     989";"       .";"    41.6";"    43.5";"    -1.8";"    50.3";"    34.5";"    22.5";"    41.7";"    43.4";"    -1.7";"    -0.9";"    -1.2";"       .";"       .";"       .";"       ."
"33";"2004JJ00";"  220426";"  230087";"   -9661";"  266230";"  182440";"  119129";"";"";"";"   -5023";"   -6308";"    6681";"    41.6";"    43.5";"    -1.8";"    50.3";"    34.5";"    22.5";"";"";"";"    -0.9";"    -1.2";"     1.3";"    1136";"    1004";"    1606"
"34";"2005KW01";"   53932";"   55402";"   -1470";"  267542";"   45386";"   29020";"   55410";"   56685";"   -1275";"   -1303";"   -2257";"       .";"    41.7";"    43.1";"    -1.5";"    50.1";"    34.6";"    22.5";"    41.1";"    42.0";"    -0.9";"    -0.8";"    -1.1";"       .";"       .";"       .";"       ."
"35";"2005KW02";"   57705";"   60141";"   -2436";"  282218";"   47707";"   31946";"   56479";"   57533";"   -1054";"   -2361";"   -2283";"       .";"    41.5";"    42.7";"    -1.2";"    52.4";"    34.5";"    22.4";"    41.4";"    42.1";"    -0.8";"    -0.7";"    -1.0";"       .";"       .";"       .";"       ."
"36";"2005KW03";"   54975";"   55090";"    -115";"  276073";"   45333";"   29238";"   58761";"   58282";"     479";"     -35";"     319";"       .";"    41.5";"    42.3";"    -0.8";"    50.7";"    34.6";"    22.4";"    42.4";"    42.0";"     0.3";"    -0.5";"    -0.6";"       .";"       .";"       .";"       ."
"37";"2005KW04";"   63916";"   62079";"    1837";"  274420";"   52775";"   32531";"   59823";"   60245";"    -422";"    4603";"    4176";"       .";"    41.8";"    42.2";"    -0.4";"    49.8";"    34.7";"    22.3";"    42.6";"    42.9";"    -0.3";"     0.2";"     0.0";"       .";"       .";"       .";"       ."
"38";"2005JJ00";"  230528";"  232712";"   -2184";"  274420";"  191201";"  122735";"";"";"";"     904";"     -45";"    7579";"    41.8";"    42.2";"    -0.4";"    49.8";"    34.7";"    22.3";"";"";"";"     0.2";"     0.0";"     1.4";"    1122";"     985";"    1571"
"39";"2006KW01";"   59264";"   60494";"   -1230";"  275235";"   49755";"   32055";"   60406";"   61642";"   -1236";"     277";"    -660";"       .";"    42.1";"    42.5";"    -0.3";"    49.2";"    34.9";"    22.5";"    42.2";"    43.1";"    -0.9";"     0.4";"     0.3";"       .";"       .";"       .";"       ."
"40";"2006KW02";"   63438";"   64948";"   -1510";"  275846";"   51523";"   35111";"   62476";"   62234";"     242";"   -1019";"    -893";"       .";"    42.5";"    42.7";"    -0.2";"    48.6";"    35.1";"    22.7";"    43.0";"    42.9";"     0.2";"     0.7";"     0.5";"       .";"       .";"       .";"       ."
"41";"2006KW03";"   59843";"   59835";"       8";"  273212";"   49385";"   32428";"   64379";"   63378";"    1001";"     828";"     827";"       .";"    42.8";"    43.0";"    -0.2";"    47.5";"    35.3";"    22.9";"    43.8";"    43.1";"     0.7";"     0.8";"     0.6";"       .";"       .";"       .";"       ."
"42";"2006KW04";"   69199";"   65886";"    3313";"  264268";"   58184";"   35957";"   64683";"   64049";"     634";"    4351";"    4551";"       .";"    43.1";"    43.0";"     0.1";"    45.2";"    35.7";"    23.2";"    43.3";"    42.8";"     0.4";"     0.8";"     0.7";"       .";"       .";"       .";"       ."
"43";"2006JJ00";"  251744";"  251163";"     581";"  264268";"  208847";"  135551";"";"";"";"    4437";"    3825";"   10610";"    43.1";"    43.0";"     0.1";"    45.2";"    35.7";"    23.2";"";"";"";"     0.8";"     0.7";"     1.8";"    1115";"     979";"    1555"
"44";"2007KW01";"   63889";"   63494";"     395";"  269368";"   52802";"   34146";"   64269";"   64460";"    -191";"    2071";"    1101";"       .";"    43.2";"    42.8";"     0.4";"    45.4";"    35.7";"    23.2";"    42.2";"    42.3";"    -0.1";"     1.0";"     0.9";"       .";"       .";"       .";"       ."
"45";"2007KW02";"   65023";"   67890";"   -2867";"  274499";"   54501";"   37329";"   64485";"   65099";"    -614";"   -2143";"   -1946";"       .";"    42.8";"    42.7";"     0.1";"    45.6";"    35.7";"    23.2";"    42.0";"    42.4";"    -0.4";"     0.8";"     0.8";"       .";"       .";"       .";"       ."
"46";"2007KW03";"   59047";"   62156";"   -3109";"  271939";"   49604";"   34316";"   64054";"   65848";"   -1794";"   -2277";"   -2343";"       .";"    42.1";"    42.5";"    -0.4";"    44.6";"    35.2";"    23.2";"    41.2";"    42.4";"    -1.2";"     0.3";"     0.2";"       .";"       .";"       .";"       ."
"47";"2007KW04";"   73614";"   68602";"    5012";"  266215";"   61140";"   38070";"   68742";"   66821";"    1921";"    6253";"    6515";"       .";"    42.2";"    42.3";"    -0.1";"    43.0";"    35.2";"    23.2";"    43.5";"    42.3";"     1.2";"     0.6";"     0.5";"       .";"       .";"       .";"       ."
"48";"2007JJ00";"  261573";"  262142";"    -569";"  266215";"  218047";"  143861";"";"";"";"    3904";"    3327";"    9762";"    42.2";"    42.3";"    -0.1";"    43.0";"    35.2";"    23.2";"";"";"";"     0.6";"     0.5";"     1.6";"    1124";"     982";"    1560"
"49";"2008KW01";"   69917";"   68278";"    1639";"  275155";"   56798";"   36048";"   69463";"   69205";"     258";"    4444";"    3141";"       .";"    42.7";"    42.6";"     0.1";"    43.9";"    35.4";"    23.2";"    43.2";"    43.1";"     0.2";"     1.0";"     0.9";"       .";"       .";"       .";"       ."
"50";"2008KW02";"   69810";"   72127";"   -2317";"  278204";"   58079";"   39398";"   69604";"   69172";"     432";"    -688";"    -495";"       .";"    42.9";"    42.7";"     0.2";"    43.8";"    35.5";"    23.3";"    43.1";"    42.8";"     0.3";"     1.2";"     1.1";"       .";"       .";"       .";"       ."
