"ID";"Perioden";"Overheidsinkomsten_1";"Overheidsuitgaven_2";"Overheidssaldo_3";"OverheidsschuldEMU_4";"CollectieveLasten_5";"Overheidsconsumptie_6";"OverheidsinkomstenSeizoengecorrigeerd_7";"OverheidsuitgavenSeizoengecorrigeerd_8";"OverheidssaldoSeizoengecorrigeerd_9";"NettoBesparingen_10";"SaldoNettoBespEnKapitaaloverdr_11";"Aardgasbaten_12";"Overheidsinkomsten_13";"Overheidsuitgaven_14";"Overheidssaldo_15";"OverheidsschuldEMU_16";"CollectieveLasten_17";"Overheidsconsumptie_18";"OverheidsinkomstenSeizoengecorrigeerd_19";"OverheidsuitgavenSeizoengecorrigeerd_20";"OverheidssaldoSeizoengecorrigeerd_21";"NettoBesparingen_22";"SaldoNettoBespEnKapitaaloverdr_23";"Aardgasbaten_24";"WerkzamePersonen_25";"Arbeidsjaren_26";"GewerkteUren_27"
"66";"2011KW03";"   64128";"   72872";"   -8744";"  396604";"   53766";"   40121";"   69978";"   76374";"   -6396";"   -6909";"   -7120";"       .";"    42.9";"    47.0";"    -4.1";"    61.1";"    35.4";"    25.8";"    42.9";"    46.8";"    -3.9";"    -2.7";"    -3.2";"       .";"       .";"       .";"       ."
"67";"2011KW04";"   71549";"   77909";"   -6360";"  401269";"   59441";"   44294";"   68329";"   76271";"   -7942";"   -5098";"   -6046";"       .";"    42.4";"    46.8";"    -4.4";"    61.7";"    35.1";"    25.8";"    42.0";"    46.9";"    -4.9";"    -3.3";"    -3.7";"       .";"       .";"       .";"       ."
"68";"2011JJ00";"  275529";"  304320";"  -28791";"  401269";"  228462";"  167706";"";"";"";"  -21603";"  -24284";"   11941";"    42.4";"    46.8";"    -4.4";"    61.7";"    35.1";"    25.8";"";"";"";"    -3.3";"    -3.7";"     1.8";"    1151";"    1001";"    1593"
"69";"2012KW01";"   72178";"   74361";"   -2183";"  406967";"   57937";"   40333";"   69850";"   75905";"   -6055";"     251";"   -1642";"       .";"    42.4";"    46.7";"    -4.3";"    62.5";"    35.1";"    25.8";"    42.9";"    46.6";"    -3.7";"    -3.3";"    -3.7";"       .";"       .";"       .";"       ."
"70";"2012KW02";"   70671";"   79675";"   -9004";"  417061";"   58841";"   44049";"   70087";"   76187";"   -6100";"   -7856";"   -8138";"       .";"    42.7";"    46.7";"    -4.0";"    63.9";"    35.3";"    25.9";"    42.9";"    46.7";"    -3.7";"    -3.0";"    -3.5";"       .";"       .";"       .";"       ."
"71";"2012KW03";"   62735";"   73138";"  -10403";"  423070";"   52508";"   40551";"   68673";"   76624";"   -7951";"   -8631";"   -9028";"       .";"    42.5";"    46.8";"    -4.3";"    64.9";"    35.1";"    26.0";"    42.2";"    47.1";"    -4.9";"    -3.3";"    -3.8";"       .";"       .";"       .";"       ."
"72";"2012KW04";"   74105";"   78101";"   -3996";"  432428";"   60954";"   45012";"   71319";"   76782";"   -5463";"   -3272";"   -3633";"       .";"    42.8";"    46.8";"    -3.9";"    66.2";"    35.3";"    26.0";"    43.5";"    46.9";"    -3.3";"    -3.0";"    -3.4";"       .";"       .";"       .";"       ."
"73";"2012JJ00";"  279689";"  305275";"  -25586";"  432428";"  230240";"  169945";"";"";"";"  -19508";"  -22441";"   14586";"    42.8";"    46.8";"    -3.9";"    66.2";"    35.3";"    26.0";"";"";"";"    -3.0";"    -3.4";"     2.2";"    1134";"     984";"    1560"
"74";"2013KW01";"   75260";"   75845";"    -585";"  435442";"   59647";"   41149";"   72508";"   77176";"   -4668";"    2789";"    -400";"       .";"    43.3";"    46.9";"    -3.7";"    66.6";"    35.5";"    26.1";"    44.2";"    47.1";"    -2.8";"    -2.6";"    -3.2";"       .";"       .";"       .";"       ."
"75";"2013KW02";"   73136";"   79780";"   -6644";"  447189";"   60932";"   44178";"   72246";"   76165";"   -3919";"   -6000";"   -6033";"       .";"    43.5";"    46.8";"    -3.3";"    68.3";"    35.7";"    26.1";"    43.8";"    46.2";"    -2.4";"    -2.3";"    -2.9";"       .";"       .";"       .";"       ."
